Title,Author,Content,TimeStamp,Rating
Just like a bar in Thailand,Kiwijames,"Choppy, low res intermittent stoppage. Similar to a dodgy pirated streaming feed.",2019-09-21T04:06:43-07:00,1
Clunky,mtcp99,“Watch from beginning”  option takes you to “Live”. So you see the score - not great.  “Back 10” and “forward 10” buttons intermittently disappear. Rewind scroll bar at bottom does not rewind or display the time moving back.$90 bucks for a buggy app - good one Spark!,2019-09-21T03:47:09-07:00,1
Upset viewer,Steve-1974,"The quality is really poor. Just watching the all blacks and the picture is rubbish. I swallowed my pride today and bought the World Cup pass, really hope you get it sorted",2019-09-21T03:36:41-07:00,1
Terrible,boebig69,Fucken horrible. Bring back sky sport,2019-09-21T03:12:56-07:00,1
Don’t bother,nzthatguy,Terrible! We have 200mb down and up fibre and have tried on three different devices including a high end i7 gaming computer and the buffering is making rwc unwatchable!,2019-09-21T03:07:25-07:00,1
App isn’t compatible with all devices,rwc2019fan,Sort your app out. We are paying for the app to be available to us and also paying for rugby World Cup and you can’t even get your app available to all devices. Sky sport is so why can’t you.,2019-09-21T03:02:06-07:00,1
Green screen?,Mcarrsmith,Commentary and a green screen. What’s that all about?,2019-09-21T02:19:09-07:00,1
Seamless experience,katehaselhoff,Works perfectly,2019-09-21T01:19:10-07:00,5
Ruining a lovely evening,alis mate,Selfish and poor form to buy the rights to the rwc... Now I have to sit here and do nose beers with Ali Williams while we watch the game on my phone and not sky sport. Absolutely dog,2019-09-20T22:42:53-07:00,1
A bit shonky,Baudcranium,"Tried to watch RWC opening ceremony last night. Clicked the button watch from beginning. Waited. ""Please stay tuned scheduled program will start shortly"". Waited. 20 minutes later I'm thinking it can't be that late starting so I go back a step and click watch live and there it is 20 minutes into the ceremony! Come on Spark please get it together!",2019-09-20T13:48:02-07:00,2
Disaster Rugby World Cup,FloasyM,Tried to watch opening game but all i got was Freezes freezes freezes- how do I get my money back?,2019-09-20T06:03:54-07:00,1
How do you even register???,Graym,"Downloaded app. Worst UX I’ve ever encountered, doesn’t even tell you how to register? How do I get a login? Am I supposed to google it myself and hope I get scammed?",2019-09-20T04:06:09-07:00,1
