Title,Author,Content,TimeStamp,Rating
No AirPlay,Hack778899,How come it won’t work on my Apple TV as promised?,2019-03-14T01:34:38-07:00,1
Portrait???,dupka,"Ummmm - a portrait only app? Is this 2010 when the iPad 1st gen was launched? I never hold my iPad in portrait because, you know, it has a Smart Keyboard. You want to look into it - I know it's very difficult to keep up with all the new technology.

And no background playing of video? I know, I know, it's my fault for having a nice new iPad Pro that can multi-task. I should have just stuck with the 1st gen and stop watching the live sport to be able to check my email.",2019-03-14T01:27:34-07:00,2
Great start!,shady01nz,Very smooth and easy to use interface. Picture quality superb and buffering is negligible. Long may this continue.,2019-03-14T00:25:51-07:00,5
Solid start,khiginbottom_41,"Pros: Solid stream at good resolution. Casting works well to Apple TV. Good content (NBA!). 

Cons: Limited content. No Apple TV app.",2019-03-13T23:57:16-07:00,4
Good start,BarelyAnEmber,"As many others have noted, there is no way to register via the app.
The developer refers users to a website to register, the website insists on payment information being added to one’s account before registration can be completed.

Given we’ve been told via the media that this initial stage is really intended for beta testing, the perceived risk of forgetting about canceling the 30 day trial prior to charges being applied will, I imagine, turn a significant number of potential users (test subjects) off completing their registrations

On the upside, you’re getting consistent feedback which should be easy to implement changes to resolve. /facepalm",2019-03-13T21:27:07-07:00,1
Can’t register,ChocMilk007,"Can’t register properly to login, keep getting a 1404 error, not looking good to be able to watch Formula One tomorrow 🙈",2019-03-13T20:33:17-07:00,1
Spark sport,Martinpops,"Can’t logon!!!
Or register.",2019-03-13T15:39:25-07:00,1
Can’t register,Coopnz1,Open app... no option to register. Great start!,2019-03-13T15:31:52-07:00,1
Nowhere to register.,teeney2,Can’t register to log in.,2019-03-13T14:45:53-07:00,1
Awesome way to catch up on sports while on the go.,dobbygnz,Great way to catch up with some of my fav sports while on the go. Great vid quality which helps in the smaller screens.,2019-03-13T12:18:54-07:00,5
Can’t register,spafranco,"Have sent two email with regards showing interest. Have had no reply, can’t seem to register with app. Will this be sorted in the next 36 or so hrs?",2019-03-13T01:06:06-07:00,1
Stars,nothing works on this app,"How can this get 4 1/2 rating when
You can’t even register to login!",2019-03-12T16:24:02-07:00,1
