Title,Author,Content,TimeStamp,Rating
Pretty good,Dollynz,"I have had very few issues with this app watching F1 and the RWC.  Good coverage, happy with it so far.",2019-11-16T23:30:49-07:00,4
No problems at all,Kiwi201902,"While I have heard a lot of people had issues streaming the RWC, I have personally have had no problems at all in streaming live or watching recorded shows. I suspect it is the users broadband connection which might be to blame.",2019-11-04T18:31:16-07:00,5
Awful,tmodeadman,The biggest piece of junk I’ve ever had the displeasure of using. Cancelling my subscription.,2019-11-03T11:22:08-07:00,1
Hangs in the advertisements and transitions,Phonia,"Still very much beta stage, regularly hangs and have to manually back up and press play to restart.",2019-11-01T01:33:59-07:00,1
Mislead and disappointed,HelenEM1234,I don’t recall at all being aware the RWC semi finals and finals were going to be free to air when I bought the tournament pass.  I feel totally mislead in this regard.  The pool matches were glitchy.  Really regret this purchase.,2019-10-28T15:05:14-07:00,1
Worse than ever,Qu1nnie,"I’m disappointed i can’t rate 0 stars for this, as it deserves no rating. The app is worse than ever and buggy, being so full of corporate greed i’m surprised you are able to see or understand anything beyond your selfish little world. Can’t watch anything without having to reset the internet, login 10 times and then disappointedly watch the audio and video out of sync, laggy and terrible quality. 

Anyone who made the decision to release this app and push forward with it should be locked up and the key thrown away. Congratulations on ruining a countries sporting support, with one flick of a switch. I feel bad for anyone working on this project, and I apologise for you having to read this. But your ‘higher-ups’ are terrible greedy selfish disgraces to this Nation. They deserve to be known and all the hate directed on them rather than the frantically working coders who have been thrown unceremoniously into this. 

Have a terrible day

Yours truly,

New Zealand",2019-10-26T14:14:02-07:00,1
Excellent step forward,G Tr,"Great App. Works very well. Kiwis needs to grow up and accept the change and stop winging.
Keep doing the great work Spark Sport Team 
Well done 👍🏽",2019-10-26T13:07:55-07:00,5
"Can’t even sign in, useless.",lannie16,"Downloaded app, won’t accept my spark app password, so tried to reset password. It says it has sent me an email. Don’t know where it’s sent it to, because I didn’t get it.",2019-10-20T03:35:08-07:00,1
Rubbish,Pastetaster,"Thanks Spark - NOT - you’re wrecking the Rugby World Cup.
Technology should take us forward not backwards.
Unforgivably poor performance.
You don’t deserve the rights.",2019-10-19T22:33:03-07:00,1
Terrible,racharia,Will not cast to apple tv. Dont bother wasting your money on this,2019-10-19T04:10:14-07:00,1
"This is the worst app! Unstable, unreliable and generally useless.",Inapinny,Hangs and freezes during the ads. A huge disappointment.,2019-10-19T02:58:38-07:00,1
Won’t stream to Apple TV,Adhfgj,"Reasonably expensive for something that works sometimes. It’s ok if your watching a movie and it buffers a little bit but I’ve ended up watching the World Cup at a mates house who has a VPN 

won’t stream content to Apple TV either which is a bit of a bbq stopper",2019-10-16T01:14:42-07:00,1
Reliable App,rollingdowns,"I use the app daily through AppleTV, iPad and occasionally iPhone. Had an issue pre-world cup telling me I had too many devices logged in. Logged out, deleted app and reloaded and no problems whatsoever since. Only real bugbear is no opportunity to download and watch offline, given I spend 3hrs a day commuting I really need this",2019-10-15T19:52:54-07:00,4
"Cheaper than sky, but for far less actual rugby",steve9ace,Error after error every time I try watch using the mobile app. One time it’s telling me I’m not in New Zealand when I’m sitting at home in Auckland. The next it’s an invalid response received from manifest request Status code 403 3006. Has been a very poor customer experience where I’ve seen more errors than games when trying to use the app. Not impressed as it’s operated like a beta while the full price is charged to customers. ‘Tis the sad reality of the predatory nature of the market nowadays as they know customers will pay regardless.,2019-10-13T04:39:31-07:00,1
Overreaching,jpq#,"This is the first review I’ve ever given on anything. Why? Why did you decide to do this when it’s obvious you can’t? Yet again my planned RWC evening has already been ruined and I’m only a third of the way through. The app continually crashes, the picture quality is appalling and I even had the famous green and purple lines for the first time. And it’s not my set up because sometimes - maybe 25% - it all works fine with good quality picture. The app is a disgrace and whoever made the “bold audacious” decision to go for it should hang their head in shame. Or has he left already?",2019-10-13T00:58:55-07:00,1
Speed is ok. But functionality does not work properly,noyb...nz,"Very poor functionality overall

Going through the menus is difficult on a Apple TV despite the fact that this app has been recently released

Many things do NOT work in the way that you would expect and on top of that there are errors

For example when you attempt to go into a LIVE match and select “play from the start”, this does not work and jumps you to the current time to watch it Live so instead of going to enjoy the full match in one case I jumped into it at 68 minutes and 44 seconds. Really poor that Something this obvious was not tested.

Spark, raise your game, and stop being so arrogant. You are no longer a monopoly.
Luckily I don’t like cricket so I will be using this any RWC",2019-10-13T00:26:47-07:00,2
Haaaard to use,Ventola84,"Hi Spark. 
Whoever developed the app. Please, get a refund and find someone else who is professional developer. 

This app is no logical at all, like a high school student graduate product who made overnight. 

Find someone oversea who can make a proper app. Please, or we have to unsubscribe it.",2019-10-10T03:41:43-07:00,1
Very good app,cat is best friend,Haven’t got any problem with this app. Can use this at multiple devices and it works fine with chrome cast as well. Love it! Good work spark people!,2019-10-08T01:05:35-07:00,5
Just awful....,otago bill,"I knew this would be an absolute mess but I don’t feel vindicated being proved right. Clunky, unresponsive, unintuitive junk from our mates at Spark. Feel sorry for the people who have to work there. 

Up your game spark and don’t you dare bid for rugby, cricket or americas cup!",2019-10-07T21:29:39-07:00,1
getting more stable with each update.,Rahnos,"Since recent updates the app has been working fine for live streaming and casting to Chromecast.
I was smart enough to check whether it worked before the big tournament (you know which one i mean) it didn’t, found Spark customer service to be unhelpful, took two weeks for them to get back to me... By then i had figured it out myself, I had ended up buying a newer Chromecast.
Have experienced NO streaming issues since the app updates pre tournament.
The negative media coverage is becoming ridiculous...",2019-10-07T11:32:18-07:00,4
Works great,whakatanesam,Big upgrade on Bein sports app for the EPL last year. rWC has been flawless for me.,2019-10-07T11:27:14-07:00,5
Terrible.,Sea Kiwi,"It’s a shockingly bad app. What’s even worse is it’s not even formatted to fit the iPhone plus / max series phones. The app fits the screen but when a game is on there are these horrible grey bars reducing screen real estate. 

Terrible all round.",2019-10-07T11:21:24-07:00,1
