username,comment,date,rating
Richard Buckland,"Rip off. Even when it's working properly, the sound is stereo. This is 2019! When they went free to air it was 5.1! So the free transmission was better quality than the overpriced app. Also no way to easily rewind and replay, or fast forward thru the ads and rubbish discussions, only 20 seconds at a...Full Review","November 9, 2019",1
Richard Griffiths,"Well, it's good in the sense it's not sky, but I'm paying 90 dollars for a rugby world cup that should be free to air (not sparks fault directly) but is of patchy quality (my internet connection is fine, thanks) and it's coming loaded with tv ads and poor quality build up/post game analysis. Having ...Full Review","September 22, 2019",2
Danielle Campbell,"Not a great start at all. Rugby is like a religion in NZ. From the get-go, i went through your website, emails etc and did all that was required of me. I spent the Friday before RWC streaming a game. All was well. Until thattt ABs game. You stuffed it up. End of. Your service simply couldn't handle ...Full Review","September 24, 2019",2
Han Jroid,Pressed watch from the start and it flashed the current score before starting with the pregame coverage (which I have minimal interest in - I want to start from the start of the match). It took me a long time to find the start of the match and by the time I did and pressed cast it reverted back to t...Full Review,"September 28, 2019",1
Duncan Thomason,"Unwatchable. As other reviewers have noted, it's like watching still pictures that update every minute or so. It is the same on all devices, and in app and through browser. Can stream all other content providers but not spark. Disaster for spark, I will be asking for my subscription moment back if n...Full Review","September 21, 2019",1
Rita M,"Day 6 of RWC and I'm home from work trying to watch highlights and the app keeps failing, I have the app on my brand new TV but it keeps launching the ""we are having problems playing this right now, pls try again later"" BS! Nothing else at my end is affected, just Spark Sport app, soo not fair that ...Full Review","September 25, 2019",1
Troy Ahsin-Lemm,"What an absolute farce! Fixed must mean broken in Spark terms! Streaming Wales vs Georgia through the website and buffering still! So bad that started the stream early for the pre match and when I refreshed it, the feed went from the team's walking down the tunnel to kick off? No national anthems! S...Full Review","September 23, 2019",1
Jillian Taylor,"After a great start with no issues , when I tried to watch last nights Japan Ireland game and managed to get right thru to Spark sport via Chromecast but had no access to any games. Spent the next few hours with 4 live chatters , reset my password 3 times, logged out, logged in but then lost my opti...Full Review","September 29, 2019",2
Bruce Condliffe,"It is unwatchable with extensive buffering, despite my intermet download speed being 45mbps. Spark wants me to continually check other devices,. It is not on my TV but on my computer (updated , Cache cleared etc) so no HDMI connections to blame. Am giving up as spent so much time going back to them ...Full Review","October 8, 2019",1
Kieran,"No problems here, have had nothing but smooth sailing throughout the RWC - the one problem I had with a choppy stream was solved with a hard reset of my modem/router, so it was my connection at fault. As someone who streams other sports (e.g. NBA through league pass) I'm really impressed with the qu...Full Review","October 8, 2019",5
